KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
﻿KEY,OVERRIDE_LOGGED_BY,AP_NAME,REASON,TUITION_ELIGIBLE,UPDATED_AT,STUDENT_EXTERNAL_ID,TERM_CODE,COMMENT,MP SEARCH URL
2020-08-31-2020-10-11_21261411,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.664 +0000,21261411,2020-08-31-2020-10-11,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21261411&page=0&attribute=studentId
2020-08-10-2020-10-11_21260949,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.658 +0000,21260949,2020-08-10-2020-10-11,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21260949&page=0&attribute=studentId
2020-08-31-2020-11-21_21260799,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.652 +0000,21260799,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21260799&page=0&attribute=studentId
2020-07-13-2020-08-23_21259662,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.639 +0000,21259662,2020-07-13-2020-08-23,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21259662&page=0&attribute=studentId
2020-08-31-2020-11-21_21259389,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.632 +0000,21259389,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21259389&page=0&attribute=studentId
2020-08-31-2020-11-21_21258574,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.625 +0000,21258574,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21258574&page=0&attribute=studentId
2020-08-31-2020-11-21_21258261,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.618 +0000,21258261,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21258261&page=0&attribute=studentId
2020-08-31-2020-11-21_21258233,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.612 +0000,21258233,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21258233&page=0&attribute=studentId
2020-08-31-2020-11-21_21258033,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.606 +0000,21258033,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21258033&page=0&attribute=studentId
2020-10-05-2020-11-15_21257165,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.601 +0000,21257165,2020-10-05-2020-11-15,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21257165&page=0&attribute=studentId
2020-08-17-2020-11-15_21257165,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.595 +0000,21257165,2020-08-17-2020-11-15,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21257165&page=0&attribute=studentId
2020-08-17-2020-09-27_21257165,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.589 +0000,21257165,2020-08-17-2020-09-27,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21257165&page=0&attribute=studentId
2020-09-28-2020-11-08_21257163,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.583 +0000,21257163,2020-09-28-2020-11-08,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21257163&page=0&attribute=studentId
2020-08-31-2020-11-21_21255088,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.571 +0000,21255088,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21255088&page=0&attribute=studentId
2020-08-31-2020-11-21_21254853,Leede,Bellevue University,employerDataIssue,FALSE,2021-10-04 22:50:37.566 +0000,21254853,2020-08-31-2020-11-21,Terms not facilitated through TA 2.0 - rendering ineligible for transaction support/facilitation through TA 1.0. Overriding on Invoice ID 27a4f5d0-9f2e-4313-80dc-82e6bb4e39bf,https://ta-admin.guildeducation.com/member-payments?searchTerm=21254853&page=0&attribute=studentId
